name,genre,email,location,nonprofit_interest,instagram,artist_bio,nonprofit_reasoning
Elena Perez,Metal,perez.elena@icloud.com,"Naperville, IL",Women's Rights,elena_perez_music,"Based in Naperville, IL, Elena Perez creates metal music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Elena Perez is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Elena Perez is deeply committed to women's rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like workplace equality. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on workplace equality, Elena Perez hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Luke James,Soul,luke.james.music@yahoo.com,"Champaign, IL",Environmental Conservation,lukejames_artist,"Luke James is a soul artist from Champaign, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Luke James explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Growing up in the Midwest, Luke James developed a deep connection to natural spaces and became increasingly concerned about environmental degradation, particularly issues related to wetland restoration. They view music as a powerful tool for environmental education and community mobilization, seeking to collaborate with organizations that share their commitment to environmental conservation. Luke James believes that artists can play a crucial role in communicating the urgency of environmental challenges while inspiring hope and collective action."
Avery Hill,Soul,avery_hill@hotmail.com,"Schaumburg, IL",LGBTQ+ Rights,avery_sounds,"Based in Schaumburg, IL, Avery Hill creates soul music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Avery Hill is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Avery Hill is deeply committed to lgbtq+ rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like youth support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on youth support, Avery Hill hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Lucia Morris,Soul,luciamorris@gmail.com,"Chicago, IL",Arts Education,luciamorris_artist,"Lucia Morris is a soul artist from Chicago, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Lucia Morris explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Lucia Morris is deeply committed to arts education because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like cultural preservation. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on cultural preservation, Lucia Morris hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Isabella Brooks,Soul,isabella_brooks@gmail.com,"Chicago, IL",Climate Change Action,isabella_brooks_music,"Isabella Brooks is a soul artist from Chicago, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Isabella Brooks explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Isabella Brooks is deeply committed to climate change action because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like green building initiatives. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on green building initiatives, Isabella Brooks hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Kendall Sanchez,Soul,kendall_sanchez@yahoo.com,"Urbana, IL",Environmental Conservation,kendallsanchez_artist,"Performing throughout Urbana, IL and the broader region, Kendall Sanchez brings a unique perspective to soul music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Kendall Sanchez draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Growing up in the Midwest, Kendall Sanchez developed a deep connection to natural spaces and became increasingly concerned about environmental degradation, particularly issues related to urban green spaces. They view music as a powerful tool for environmental education and community mobilization, seeking to collaborate with organizations that share their commitment to environmental conservation. Kendall Sanchez believes that artists can play a crucial role in communicating the urgency of environmental challenges while inspiring hope and collective action."
Isaac King,Funk,isaacking@yahoo.com,"Champaign, IL",Women's Rights,isaacking,"Performing throughout Champaign, IL and the broader region, Isaac King brings a unique perspective to funk music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Isaac King draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Isaac King is deeply committed to women's rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like domestic violence prevention. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on domestic violence prevention, Isaac King hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
True Martin,Funk,truemartin@icloud.com,"Naperville, IL",Criminal Justice Reform,martin_music,"True Martin is a funk artist from Naperville, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, True Martin explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","True Martin is deeply committed to criminal justice reform because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like prison reform. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on prison reform, True Martin hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Diego Sanchez,Funk,diego.sanchez@outlook.com,"Peoria, IL",Social Justice,diegosanchez,"Based in Peoria, IL, Diego Sanchez creates funk music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Diego Sanchez is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Having witnessed the impact of voting rights in their community, Diego Sanchez is driven to support social justice organizations that work toward creating more equitable systems and opportunities. They believe music has the unique ability to build empathy, bridge divides, and mobilize people around shared values of fairness and human dignity. Diego Sanchez seeks partnerships with nonprofits that align with their vision of using artistic expression to advance social justice and community healing."
Oscar Jones,Funk,oscarjones@gmail.com,"Chicago, IL",Immigration Rights,oscar_sounds,"Based in Chicago, IL, Oscar Jones creates funk music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Oscar Jones is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Oscar Jones is deeply committed to immigration rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like refugee resettlement. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on refugee resettlement, Oscar Jones hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Nina Howard,Funk,ninahoward@hotmail.com,"Naperville, IL",Education Equity,nina.howard,"Performing throughout Naperville, IL and the broader region, Nina Howard brings a unique perspective to funk music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Nina Howard draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Nina Howard is passionate about education equity because they understand how access to quality education, particularly in areas like after-school programs, can transform individual lives and entire communities. Their own musical journey was shaped by educational opportunities, and they want to ensure that all young people have similar access regardless of their background or economic circumstances. Through supporting nonprofits focused on after-school programs, Nina Howard hopes to help create pathways for the next generation of artists and leaders."
Tatum Henderson,Gospel,henderson.tatum@icloud.com,"Aurora, IL",Disability Rights,tatumhenderson_artist,"Performing throughout Aurora, IL and the broader region, Tatum Henderson brings a unique perspective to gospel music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Tatum Henderson draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Tatum Henderson is deeply committed to disability rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like independent living. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on independent living, Tatum Henderson hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Piper Henderson,Gospel,piperhenderson@yahoo.com,"Oak Park, IL",Criminal Justice Reform,piperhenderson,"Performing throughout Oak Park, IL and the broader region, Piper Henderson brings a unique perspective to gospel music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Piper Henderson draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Piper Henderson is deeply committed to criminal justice reform because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like juvenile justice. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on juvenile justice, Piper Henderson hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Rosa Adams,Gospel,rosaadams@gmail.com,"Schaumburg, IL",Women's Rights,rosaadams_artist,"Performing throughout Schaumburg, IL and the broader region, Rosa Adams brings a unique perspective to gospel music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Rosa Adams draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Rosa Adams is deeply committed to women's rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like leadership opportunities. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on leadership opportunities, Rosa Adams hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Val Howard,Gospel,valhoward@outlook.com,"Peoria, IL",Food Security,musician_val,"Performing throughout Peoria, IL and the broader region, Val Howard brings a unique perspective to gospel music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Val Howard draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Val Howard is deeply committed to food security because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like nutrition education. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on nutrition education, Val Howard hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Antonio Campbell,Gospel,campbell.antonio@yahoo.com,"Evanston, IL",Animal Welfare,antoniocampbell,"Performing throughout Evanston, IL and the broader region, Antonio Campbell brings a unique perspective to gospel music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Antonio Campbell draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Antonio Campbell is deeply committed to animal welfare because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like shelter support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on shelter support, Antonio Campbell hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Elena Cook,Acoustic,elena.cook.music@hotmail.com,"Chicago, IL",Senior Care,elenacook_artist,"Based in Chicago, IL, Elena Cook creates acoustic music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Elena Cook is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Elena Cook is deeply committed to senior care because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like Medicare advocacy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on Medicare advocacy, Elena Cook hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Emery Roberts,Acoustic,emery_roberts@outlook.com,"Aurora, IL",Youth Development,emery_sounds,"Emery Roberts is a acoustic artist from Aurora, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Emery Roberts explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Emery Roberts is deeply committed to youth development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like leadership development. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on leadership development, Emery Roberts hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Gabe Wood,Acoustic,wood.gabe@outlook.com,"Aurora, IL",Immigration Rights,gabe_sounds,"Gabe Wood is a acoustic artist from Aurora, IL who creates innovative music that blends traditional elements with contemporary influences and socially conscious themes. Their artistic vision encompasses both technical excellence and emotional authenticity, resulting in performances that connect deeply with diverse audiences across the Midwest. Through their music, Gabe Wood explores themes of community, identity, and social justice while maintaining artistic integrity and creative innovation.","Gabe Wood is deeply committed to immigration rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like refugee resettlement. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on refugee resettlement, Gabe Wood hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Nova Phillips,Acoustic,nova.phillips@yahoo.com,"Urbana, IL",Arts Education,nova_sounds,"Performing throughout Urbana, IL and the broader region, Nova Phillips brings a unique perspective to acoustic music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Nova Phillips draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Nova Phillips is deeply committed to arts education because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like community art centers. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on community art centers, Nova Phillips hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Isabella Watson,Acoustic,isabella_watson@hotmail.com,"Peoria, IL",Homelessness Prevention,musician_isabella,"Performing throughout Peoria, IL and the broader region, Isabella Watson brings a unique perspective to acoustic music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Isabella Watson draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Isabella Watson is deeply committed to homelessness prevention because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like job training programs. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on job training programs, Isabella Watson hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Lucia Wood,Singer-Songwriter,lucia.wood@yahoo.com,"Evanston, IL",Economic Justice,musician_lucia,"Based in Evanston, IL, Lucia Wood creates singer-songwriter music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Lucia Wood is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Lucia Wood is deeply committed to economic justice because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like affordable housing. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on affordable housing, Lucia Wood hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Grace Hall,Singer-Songwriter,hall.grace@yahoo.com,"Chicago, IL",Community Development,musician_grace,"Performing throughout Chicago, IL and the broader region, Grace Hall brings a unique perspective to singer-songwriter music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Grace Hall draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Grace Hall is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like neighborhood revitalization. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on neighborhood revitalization, Grace Hall hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Avery Bennett,Singer-Songwriter,avery.bennett.music@gmail.com,"Peoria, IL",Community Development,avery_bennett_music,"Performing throughout Peoria, IL and the broader region, Avery Bennett brings a unique perspective to singer-songwriter music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Avery Bennett draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Avery Bennett is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like small business support. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on small business support, Avery Bennett hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Phoenix Gomez,Singer-Songwriter,phoenixgomez@yahoo.com,"Oak Park, IL",Senior Care,phoenix_gomez_music,"Based in Oak Park, IL, Phoenix Gomez creates singer-songwriter music that combines artistic excellence with social consciousness, performing for audiences who appreciate both technical skill and meaningful content. Their compositions reflect the diversity and complexity of modern American life while honoring musical traditions and pushing creative boundaries. Phoenix Gomez is dedicated to using their platform to promote understanding, justice, and positive change through powerful, authentic musical expression.","Phoenix Gomez is deeply committed to senior care because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like elder abuse prevention. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on elder abuse prevention, Phoenix Gomez hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Vera Lee,Singer-Songwriter,vera.lee.music@gmail.com,"Champaign, IL",Social Justice,vera_lee_music,"Performing throughout Champaign, IL and the broader region, Vera Lee brings a unique perspective to singer-songwriter music through thoughtful composition and engaging live performances. Their work demonstrates technical skill, creative vision, and commitment to using music as a vehicle for positive social impact and community connection. Vera Lee draws inspiration from the rich cultural landscape of the Midwest while addressing contemporary issues and universal human experiences.","Vera Lee's commitment to social justice stems from personal experiences with inequality and a deep belief that music can be a catalyst for positive social change, particularly in addressing systemic racism. They recognize the platform that comes with being a musician and feel a moral obligation to use their voice to advocate for marginalized communities and systemic reform. Through collaborations with nonprofits working on systemic racism, Vera Lee aims to create meaningful dialogue and inspire concrete action for justice."
